,IRMS_C.2,IRMS_C.1.1,IRMS_C.1,I2,IRMS_B.1,IRMS_B.2,I1,IRMS_B.3,I3,V1,V2,V3,P1,P2,P3,Q1,Q2,Q3,TIMESTAMP,LOG(I1),LOG(I2),LOG(I3),I1_diff(2),I2_diff(2),I3_diff(2)
0,135.497,135.497,135.497,169.354547979,154.070624823,170.573130433,0.916,0.836,0.892,241.25,242.625,244.06,142.563,132.134,135.497,169.354547979,154.070624823,170.573130433,01-09-2020 00:00:00,-0.08773891430800675,5.131994434403621,-0.11428914640212766,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
1,135.793,135.793,135.793,169.02415187100002,154.039392947,170.49799312,0.916,0.836,0.892,241.188,242.562,244.002,142.66299999999998,132.46,135.793,169.02415187100002,154.039392947,170.49799312,01-09-2020 00:00:01,-0.08773891430800675,5.130041615191634,-0.11428914640212766,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
2,135.793,135.793,135.793,169.02415187100002,154.039392947,170.49799312,0.916,0.836,0.892,241.188,242.562,244.002,142.66299999999998,132.46,135.793,169.02415187100002,154.039392947,170.49799312,01-09-2020 00:00:02,-0.08773891430800675,5.130041615191634,-0.11428914640212766,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
3,136.363,136.363,136.363,168.839363815,153.957060813,169.870625402,0.916,0.8370000000000001,0.892,241.087,242.47,243.91,142.886,132.743,136.363,168.839363815,153.957060813,169.870625402,01-09-2020 00:00:03,-0.08773891430800675,5.128947752931601,-0.11428914640212766,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
4,136.216,136.216,136.216,168.8901742,154.133588861,170.13372947,0.916,0.836,0.892,241.221,242.604,244.041,142.929,132.541,136.216,168.8901742,154.133588861,170.13372947,01-09-2020 00:00:04,-0.08773891430800675,5.129248646869881,-0.11428914640212766,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
5,136.172,136.172,136.172,168.842627203,154.283604577,170.525825803,0.917,0.8370000000000001,0.893,241.269,242.652,244.079,143.269,132.67,136.172,168.842627203,154.283604577,170.525825803,01-09-2020 00:00:05,-0.08664780672567216,5.128967081104776,-0.11316869810563798,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
6,136.245,136.245,136.245,168.840270202,154.144950523,170.617242433,0.917,0.838,0.893,241.229,242.601,244.037,143.267,132.905,136.245,168.840270202,154.144950523,170.617242433,01-09-2020 00:00:06,-0.08664780672567216,5.128953121256538,-0.11316869810563798,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
7,135.914,135.914,135.914,169.380770403,154.319654865,170.649917425,0.916,0.838,0.893,241.31,242.693,244.13,142.964,132.701,135.914,169.380770403,154.319654865,170.649917425,01-09-2020 00:00:07,-0.08773891430800675,5.132149259853637,-0.11316869810563798,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
8,136.139,136.139,136.139,168.40243927,154.095078563,170.037556501,0.916,0.8370000000000001,0.8909999999999999,241.194,242.566,244.015,143.276,132.862,136.139,168.40243927,154.095078563,170.037556501,01-09-2020 00:00:08,-0.08773891430800675,5.1263565866795675,-0.11541085151132785,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
9,135.898,135.898,135.898,168.95280095299998,154.034741297,170.182700371,0.916,0.836,0.8909999999999999,241.271,242.648,244.099,142.982,132.45600000000002,135.898,168.95280095299998,154.034741297,170.182700371,01-09-2020 00:00:09,-0.08773891430800675,5.129619391614175,-0.11541085151132785,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
10,136.665,136.665,136.665,168.657060148,154.18145442,170.69453029,0.918,0.8390000000000001,0.894,241.263,242.638,244.085,143.875,133.292,136.665,168.657060148,154.18145442,170.69453029,01-09-2020 00:00:10,-0.08555788836164654,5.127867423353052,-0.11204950380862289,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
11,135.876,135.876,135.876,168.709456616,154.263835064,170.60220566,0.916,0.8370000000000001,0.892,241.202,242.582,244.011,143.156,132.653,135.876,168.709456616,154.263835064,170.60220566,01-09-2020 00:00:11,-0.08773891430800675,5.12817804379591,-0.11428914640212766,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
12,136.739,136.739,136.739,168.868064636,154.096377507,170.339017526,0.918,0.84,0.893,241.264,242.644,244.078,144.055,133.575,136.739,168.868064636,154.096377507,170.339017526,01-09-2020 00:00:12,-0.08555788836164654,5.12911772740448,-0.11316869810563798,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
13,136.115,136.115,136.115,168.642282072,154.126393515,170.454445695,0.915,0.8370000000000001,0.892,241.161,242.551,243.995,143.099,132.889,136.115,168.642282072,154.126393515,170.454445695,01-09-2020 00:00:13,-0.0888312137066157,5.127779797472064,-0.11428914640212766,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
14,136.077,136.077,136.077,169.107595381,154.495254656,170.406858956,0.917,0.838,0.893,241.237,242.636,244.066,143.113,132.852,136.077,169.107595381,154.495254656,170.406858956,01-09-2020 00:00:14,-0.08664780672567216,5.130535171400846,-0.11316869810563798,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
15,135.032,135.032,135.032,168.7653358,154.188312479,170.433990431,0.913,0.835,0.89,241.151,242.549,243.976,142.067,131.88299999999998,135.032,168.7653358,154.188312479,170.433990431,01-09-2020 00:00:15,-0.09101939838716855,5.128509204438225,-0.11653381625595151,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
16,136.57299999999998,136.57299999999998,136.57299999999998,168.966617296,154.18608129700002,170.579622327,0.919,0.8390000000000001,0.895,241.30900000000003,242.715,244.148,143.756,133.296,136.57299999999998,168.966617296,154.18608129700002,170.579622327,01-09-2020 00:00:16,-0.08446915662644996,5.129701164618398,-0.11093156070728166,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
17,136.57299999999998,136.57299999999998,136.57299999999998,168.966617296,154.18608129700002,170.579622327,0.919,0.8390000000000001,0.895,241.30900000000003,242.715,244.148,143.756,133.296,136.57299999999998,168.966617296,154.18608129700002,170.579622327,01-09-2020 00:00:17,-0.08446915662644996,5.129701164618398,-0.11093156070728166,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
18,135.491,135.491,135.491,169.062064805,154.33297887700002,170.565577212,0.916,0.8370000000000001,0.8909999999999999,241.401,242.805,244.21400000000003,142.695,132.359,135.491,169.062064805,154.33297887700002,170.565577212,01-09-2020 00:00:18,-0.08773891430800675,5.130265894871129,-0.11541085151132785,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
19,135.491,135.491,135.491,169.062064805,154.33297887700002,170.565577212,0.916,0.8370000000000001,0.8909999999999999,241.401,242.805,244.21400000000003,142.695,132.359,135.491,169.062064805,154.33297887700002,170.565577212,01-09-2020 00:00:19,-0.08773891430800675,5.130265894871129,-0.11541085151132785,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
20,136.829,136.829,136.829,169.16172886299998,154.61291079,170.899366225,0.919,0.84,0.895,241.474,242.897,244.292,143.922,133.665,136.829,169.16172886299998,154.61291079,170.899366225,01-09-2020 00:00:20,-0.08446915662644996,5.130855232834634,-0.11093156070728166,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
21,135.07399999999998,135.07399999999998,135.07399999999998,169.040935045,154.40460144600002,170.934362681,0.915,0.835,0.8909999999999999,241.322,242.734,244.118,142.299,132.06799999999998,135.07399999999998,169.040935045,154.40460144600002,170.934362681,01-09-2020 00:00:21,-0.0888312137066157,5.130140904793922,-0.11541085151132785,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
22,136.231,136.231,136.231,169.018223819,154.366474812,170.599710476,0.917,0.838,0.893,241.36900000000003,242.769,244.166,143.418,133.096,136.231,169.018223819,154.366474812,170.599710476,01-09-2020 00:00:22,-0.08664780672567216,5.130006542358007,-0.11316869810563798,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
23,137.415,137.415,137.415,168.720592789,153.753515827,170.283735495,0.919,0.84,0.895,241.27,242.67,244.082,144.313,133.993,137.415,168.720592789,153.753515827,170.283735495,01-09-2020 00:00:23,-0.08446915662644996,5.128244049612664,-0.11093156070728166,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
24,135.866,135.866,135.866,168.898445658,154.071954497,170.142627328,0.915,0.836,0.8909999999999999,241.23,242.628,244.037,142.936,132.488,135.866,168.898445658,154.071954497,170.142627328,01-09-2020 00:00:24,-0.0888312137066157,5.129297621036063,-0.11541085151132785,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
25,136.707,136.707,136.707,169.181710168,154.315633881,170.746988273,0.919,0.8390000000000001,0.894,241.348,242.75,244.159,143.939,133.408,136.707,169.181710168,154.315633881,170.746988273,01-09-2020 00:00:25,-0.08446915662644996,5.13097334539553,-0.11204950380862289,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
26,136.986,136.986,136.986,168.957155421,153.939483572,170.198934123,0.919,0.8390000000000001,0.895,241.215,242.592,244.024,144.131,133.439,136.986,168.957155421,153.939483572,170.198934123,01-09-2020 00:00:26,-0.08446915662644996,5.129645164562962,-0.11093156070728166,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
27,137.446,137.446,137.446,168.812954023,153.810889539,170.322150484,0.92,0.8390000000000001,0.8959999999999999,241.142,242.585,244.032,144.392,134.043,137.446,168.812954023,153.810889539,170.322150484,01-09-2020 00:00:27,-0.08338160893905101,5.1287913210597695,-0.10981486600720669,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
28,137.189,137.189,137.189,169.263986131,154.005240589,170.451152479,0.92,0.838,0.895,241.236,242.701,244.253,144.009,133.496,137.189,169.263986131,154.005240589,170.451152479,01-09-2020 00:00:28,-0.08338160893905101,5.131459544307323,-0.11093156070728166,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
29,137.418,137.418,137.418,169.051244,154.016776907,170.735674663,0.92,0.838,0.8959999999999999,241.168,242.648,244.195,143.828,133.506,137.418,169.051244,154.016776907,170.735674663,01-09-2020 00:00:29,-0.08338160893905101,5.130201887896414,-0.10981486600720669,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
30,136.593,136.593,136.593,169.574476183,154.487095367,171.053036776,0.92,0.8390000000000001,0.895,241.401,242.86,244.208,143.89,133.2,136.593,169.574476183,154.487095367,171.053036776,01-09-2020 00:00:30,-0.08338160893905101,5.133292217828404,-0.11093156070728166,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
31,135.62,135.62,135.62,169.253999031,154.736634238,171.176149226,0.917,0.8370000000000001,0.893,241.426,242.898,244.268,142.857,132.352,135.62,169.253999031,154.736634238,171.176149226,01-09-2020 00:00:31,-0.08664780672567216,5.131400539465981,-0.11316869810563798,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
32,135.812,135.812,135.812,169.386694299,154.126611386,170.521849003,0.917,0.836,0.892,241.338,242.788,244.158,142.969,132.535,135.812,169.386694299,154.126611386,170.521849003,01-09-2020 00:00:32,-0.08664780672567216,5.132184233082284,-0.11428914640212766,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
33,135.487,135.487,135.487,169.472152829,154.638427356,170.56054173200002,0.916,0.836,0.8909999999999999,241.389,242.837,244.204,142.662,132.268,135.487,169.472152829,154.638427356,170.56054173200002,01-09-2020 00:00:33,-0.08773891430800675,5.132688623229014,-0.11541085151132785,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
34,137.68,137.68,137.68,169.229164143,154.49587227700002,170.612121696,0.921,0.841,0.8959999999999999,241.36,242.796,244.176,144.748,134.28,137.68,169.229164143,154.49587227700002,170.612121696,01-09-2020 00:00:34,-0.08229524272683016,5.131253797230346,-0.10981486600720669,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
